EA,EM,NE,NO,NT,NW,SC,SE,SO,SW,WM,WN,WS
1837.282961,2109.626498,1096.363877,865.9712116,2573.276821,2949.114399,1976.795857,2373.173607,1352.712407,920.3067639,1768.11285,158.4700774,1333.106442
1489.140249,1644.754069,827.5359565,1107.583027,2108.921345,2274.358709,1400.606764,1928.809595,1053.104882,648.2318038,1324.612759,228.8800822,1130.682804
1361.18119,1467.867845,1372.926686,1018.535052,1824.840548,1941.271087,1189.756806,1768.932897,1040.713644,582.2567553,1135.08811,214.2196842,1016.280035
1253.725444,1333.377286,1328.408975,987.0267674,1598.125998,1765.14657,2007.062794,1708.063013,992.2082955,808.7070608,1006.157921,205.0461488,962.9032108
1383.294408,2497.489908,1361.611346,999.3548461,1497.991156,3097.559357,2073.307565,1696.073692,920.307736,1076.847739,2014.817557,213.7483462,1256.607605
1558.533112,1622.485108,1607.129904,1211.265463,1939.32044,2066.864475,2310.576812,2200.519918,1171.78541,1228.641288,1149.560249,233.1616991,1320.103974
2290.616006,2317.489812,2107.29458,1627.790626,2923.726133,2695.854523,2875.164055,3229.920077,1783.818735,938.3054009,1763.019288,307.3844135,1638.166999
3635.586998,3720.63514,2116.835416,1684.429286,3835.37945,3982.665294,2880.828133,5365.305029,3420.42747,2216.934812,2846.749837,293.3778027,1550.163484
4647.306984,5151.668089,2917.809361,2268.408572,4705.129205,5397.421045,3968.132134,6576.594887,4478.465388,3111.734533,3923.435729,451.9433002,1931.216573
4437.297317,5137.726617,3077.464791,2383.055965,4738.995238,5669.815149,4167.919882,6436.069757,4145.231881,2917.188939,4089.918056,488.0263739,2050.19198
3926.852559,4665.700344,2787.511888,2256.800928,4554.823196,5398.320013,3932.769619,6016.146372,3475.074358,2429.233796,3929.647463,447.8722036,2051.741514
3542.469859,4263.452667,2566.648288,2078.478283,4452.841341,5104.599829,3707.379997,5635.459316,3026.320653,2072.191413,3803.033062,409.4895305,1983.918
3550.445436,4338.287327,2625.543168,2020.750954,4531.938729,5241.368976,3541.055621,5463.819778,2884.840364,1975.767383,3856.268768,402.3858949,1901.710245
3753.259319,4440.567533,2643.62354,1964.733289,4612.273436,5245.792895,3305.05999,5474.346311,2929.759784,2032.373412,3939.950492,401.2380426,2098.394686
3675.005713,4340.324204,2516.982357,1861.37925,4515.355923,5082.985126,3133.536952,5258.367937,2841.434485,2092.767206,3809.981526,380.8611674,2143.574472
3685.056948,4222.049017,2515.211094,1849.941871,4546.341341,4929.278627,3236.632532,5393.545588,2883.843263,2174.018409,3760.926081,382.5468484,2092.863429
4260.551915,5084.784216,3040.881441,2505.036496,4979.653373,5976.266123,4055.779385,6018.98276,3484.267161,2628.308499,4273.161912,490.5941175,2511.668321
5080.07644,6370.386179,3772.396498,3206.304776,5800.206241,7307.973502,5022.44895,7183.29427,4534.048162,3453.234082,5187.267607,657.3706983,3008.434142
5472.577059,6815.011268,4046.765157,3403.49627,6103.829361,7845.755129,5462.563074,7659.529921,4869.243935,3776.965275,5513.78042,724.163697,3250.552789
5546.425184,6975.056706,4166.278204,3520.343228,6312.31397,7984.568718,5540.047215,7673.453284,4779.100968,3762.721211,5594.341123,733.4988767,3371.25368
5183.467216,6420.269005,3898.454714,3219.399746,6068.535403,7436.498503,5254.271771,7197.575072,4354.165908,3411.356894,5191.104875,678.4016388,3033.583896
4790.392623,5878.256763,3599.307569,2890.791467,5706.130492,6813.328795,4931.721083,6688.910446,3971.726593,3041.429381,4683.121827,601.8681058,2590.066199
4118.037975,4948.26541,3089.877568,2400.677581,5124.788067,5861.227008,4362.177065,5874.999967,3309.899561,2499.719249,4042.69572,498.4596922,2138.160113
3017.055068,3536.283926,2268.905869,1720.879537,4046.652691,4416.523322,3360.739759,4317.928238,2441.403811,1691.194888,2929.446149,363.758624,1473.063851
1673.686744,1935.070023,1274.964923,959.5610662,2394.821434,2559.288579,2202.588029,2767.320748,1391.86858,887.2595209,1475.825344,206.0368107,1052.48108
1352.600546,1468.735038,976.842317,727.9369194,1972.774947,1977.382918,1709.266369,2277.0004,1135.992768,676.9622838,1106.382346,174.909791,849.2681421
